From 100000 events 
Particle 5122 decay report 
# of Particle 5122 : 4286
(22, 3124) : 1, fraction(0)
(-421, 423, -3122) : 6, fraction(0)
(-421, 421, -3122) : 3, fraction(0)
(-421, 421, 3122) : 2, fraction(0)
(421, -431, 2212) : 2, fraction(0)
(421, -423, 3122) : 4, fraction(0)
(-421, 423, 3122) : 6, fraction(0)
(421, -421, 3122) : 1, fraction(0)
(421, -433, 2212) : 3, fraction(0)
(-421, 433, -2212) : 1, fraction(0)
(423, -431, 2212) : 2, fraction(0)
(423, -423, 3122) : 2, fraction(0)
(-423, 433, -2212) : 1, fraction(0)
(-423, 423, 3122) : 4, fraction(0)
(-423, 423, -3122) : 1, fraction(0)
(423, -433, 2212) : 1, fraction(0)
(-423, 431, -2212) : 3, fraction(0)
(431, -433, 3122) : 2, fraction(0)
(431, -433, -3122) : 1, fraction(0)
(-431, 431, 3122) : 1, fraction(0)
(431, -431, 3122) : 2, fraction(0)
(433, -433, 3122) : 1, fraction(0)
(-433, 433, -3122) : 2, fraction(0)
(-1114, 2112, -4122) : 1, fraction(0)
(-1114, 2114, -4122) : 1, fraction(0)
(1114, -2114, 4122) : 1, fraction(0)
(-2112, 2212, -4122) : 5, fraction(0)
(2112, -2212, 4122) : 6, fraction(0)
(-2112, 3222, -4232) : 1, fraction(0)
(2114, -2214, 4122) : 3, fraction(0)
(-2114, -2212, 2212) : 1, fraction(0)
(-2114, 2214, -4122) : 2, fraction(0)
(-2212, 2224, -4122) : 2, fraction(0)
(2212, -2224, 4122) : 1, fraction(0)
(-2214, 2224, -4122) : 2, fraction(0)
(2214, -2224, 4122) : 1, fraction(0)
(3112, -3212, 4122) : 3, fraction(0)
(-3112, 3212, -4122) : 1, fraction(0)
(-3122, 3222, -4122) : 1, fraction(0)
(3212, -3222, 4122) : 1, fraction(0)
(111, 111, -211, 2212) : 1, fraction(0)
(111, -313, 323, -4122) : 1, fraction(0)
(111, -313, 321, -4122) : 3, fraction(0)
(111, -413, 433, -2112) : 1, fraction(0)
(111, 113, 421, 2112) : 2, fraction(0)
(111, 213, 221, -4122) : 9, fraction(0)
